Symbol,logFC,PValue,FDR,
CG30076,-4.461218445,0.019061117,0.173183863,
CG15185,-4.459900806,0.045992449,0.27503791,
His2B:CG33908,-4.459900806,0.045992449,0.27503791,
CG43333,-4.455493867,0.035455477,0.239085865,
CG18605,-4.452858493,0.03936794,0.254639525,
CG14106,-4.449993935,0.021270214,0.184531767,
CG43332,-4.449993935,0.021270214,0.184531767,
CR45222,-4.449993935,0.021270214,0.184531767,
Gr33a,-4.447127984,0.018858947,0.17234689,
CG31784,-4.440663075,0.001298781,0.038815686,
Or65b,-4.440074353,0.023201214,0.194157524,
CG3225,-4.431685219,5.12E-06,0.001437674,
CG44085,-4.420789552,7.51E-06,0.001799069,
Sema-5c,-4.385971369,1.47E-06,0.000625735,
CR44146,-4.375335149,0.010524057,0.126854412,
CG42392,-4.375083681,5.70E-05,0.006147574,
CG17781,-4.343608795,0.001660269,0.044881138,
CG42690,-4.339700391,0.011646885,0.134903325,
CG43195,-4.339700391,0.011646885,0.134903325,
CG31861,-4.333595578,0.000665511,0.02580092,
CG17145,-4.315097052,0.008110569,0.10911835,
Ugt58Fa,-4.312769241,0.001330682,0.039380077,
ImpE2,-4.309969452,0.052926926,0.293658355,
CG6628,-4.309603939,0.006222514,0.094986022,
mir-279,-4.296551228,0.043214452,0.267263354,
CG43271,-4.296551228,0.043214452,0.267263354,
CG30265,-4.292076609,0.045908619,0.27503791,
CG34162,-4.285897067,0.028159511,0.212823562,
Ir75b,-4.283124803,0.073632726,0.351067875,
mir-9c,-4.283124803,0.073632726,0.351067875,
fd3F,-4.283124803,0.073632726,0.351067875,
CR44349,-4.283124803,0.073632726,0.351067875,
CG15065,-4.280033234,0.03357237,0.232638966,
CG33645,-4.280033234,0.03357237,0.232638966,
CR45694,-4.280033234,0.03357237,0.232638966,
CG9701,-4.276940382,0.023677831,0.195280969,
CR45628,-4.276940382,0.023677831,0.195280969,
CG31848,-4.275933372,0.000527017,0.021965979,
CG13334,-4.275554944,0.052672818,0.293414541,
CR43639,-4.275554944,0.052672818,0.293414541,
CR44369,-4.275509908,0.001558975,0.043007054,
CG15580,-4.269365653,0.023549317,0.195116444,
CG33490,-4.268873777,0.002435105,0.056335969,
CG44624,-4.267980778,0.045667425,0.27503791,
sphinx,-4.264927076,0.000138085,0.009836588,
Jon44E,-4.262164372,0.027458659,0.211378499,
Awh,-4.260402503,0.04281039,0.266048858,
CG4270,-4.254203948,0.045545924,0.274973491,
ort,-4.249719422,0.033130187,0.231374004,
Ir7e,-4.249719422,0.033130187,0.231374004,
CR40172,-4.24523442,0.045432894,0.274670345,
CR44484,-4.242712295,0.000531684,0.022088242,
CG14624,-4.242131393,0.05243853,0.292974785,
CR44895,-4.210789449,0.001235925,0.037593615,
Tektin-C,-4.202035261,0.011116114,0.131543186,
ms(2)34Fe,-4.167001918,0.000688029,0.026389547,
CG17732,-4.117979572,0.004325414,0.07803369,
AOX2,-4.117240064,5.98E-05,0.006216993,
Spn88Eb,-4.112242422,0.005794834,0.091720945,
CG13081,-4.103916073,0.002684031,0.058900494,
CG18649,-4.10012694,0.029942984,0.220076749,
Spn28B,-4.09026884,0.013685557,0.147117638,
CR45297,-4.086974202,0.052842092,0.293414541,
BBS8,-4.083748598,0.002286649,0.054337775,
Lcp65Ad,-4.083610699,0.040557414,0.258509174,
CR42743,-4.083610699,0.040557414,0.258509174,
CG13070,-4.082148749,0.054751161,0.299811463,
CR43460,-4.080370328,0.010088709,0.124601398,
Dfd,-4.078784544,0.035056088,0.237746989,
CR45412,-4.078784544,0.035056088,0.237746989,
BG642163,-4.077323419,0.061808052,0.320778289,
CR44926,-4.077323419,0.061808052,0.320778289,
ttm3,-4.07395855,0.034956426,0.237616746,
CG16716,-4.07395855,0.034956426,0.237616746,
CG8543,-4.07395855,0.034956426,0.237616746,
CG15024,-4.07395855,0.034956426,0.237616746,
CG31735,-4.07395855,0.034956426,0.237616746,
CheB42b,-4.07395855,0.034956426,0.237616746,
CR44553,-4.07395855,0.034956426,0.237616746,
CG9572,-4.072498267,0.084954809,0.377609223,
Or30a,-4.072498267,0.084954809,0.377609223,
CG13615,-4.072498267,0.084954809,0.377609223,
Or98a,-4.072498267,0.084954809,0.377609223,
mir-11,-4.072498267,0.084954809,0.377609223,
CR44980,-4.072498267,0.084954809,0.377609223,
CG11865,-4.06913277,0.040283819,0.257891453,
CG3581,-4.06913277,0.040283819,0.257891453,
CR43387,-4.06913277,0.040283819,0.257891453,
5-HT7,-4.067746545,2.03E-05,0.00340592,
CG32437,-4.06576631,0.031332662,0.225332847,
CR45573,-4.06576631,0.031332662,0.225332847,
CG12620,-4.064307256,0.061690511,0.320548732,
CG34462,-4.064307256,0.061690511,0.320548732,
CR45613,-4.064307256,0.061690511,0.320548732,
CG12831,-4.062398906,0.05255014,0.29301446,
CR45936,-4.06094023,0.0346986,0.236969351,
CR45331,-4.057572286,0.03464314,0.236683016,
CG14756,-4.056114506,0.054433037,0.298698438,
CG43109,-4.056114506,0.054433037,0.298698438,
CR45937,-4.056114506,0.054433037,0.298698438,
CR45833,-4.054685844,0.001298987,0.038815686,
CG12011,-4.052746058,0.034538279,0.236058812,
bxd,-4.044550511,0.03984757,0.256508646,
ACXE,-4.039724823,0.054228653,0.298280003,
Ir94b,-4.039724823,0.054228653,0.298280003,
CG34189,-4.039724823,0.054228653,0.298280003,
CG3347,-4.034433202,0.003885414,0.073865096,
CG34130,-4.023331277,0.085023529,0.377714382,
CheB53b,-4.023331277,0.085023529,0.377714382,
CG14740,-3.982119084,0.008186672,0.109636211,
CR44518,-3.981124943,7.18E-05,0.006748808,
CG7330,-3.963749189,0.025358408,0.202242845,
CG32192,-3.933224464,0.014703047,0.151714622,
CR43803,-3.926782605,0.014544883,0.151062947,
CR45656,-3.907785181,0.02044134,0.180019655,
Jon65Ai,-3.905822063,0.018089114,0.168915563,
CG44426,-3.898660286,0.000418092,0.019243225,
CG14258,-3.897979569,0.023435836,0.19490859,
Brd,-3.895746094,0.017985474,0.168849136,
CheB38a,-3.890021242,0.005297332,0.087676228,
CG14075,-3.884362295,0.009501199,0.120417374,
CG5111,-3.883460781,7.76E-05,0.00703203,
CR44500,-3.880573916,0.008156679,0.109403437,
CG32199,-3.864047591,0.000189549,0.012011651,
CR44654,-3.854175389,0.012503096,0.139463746,
CG17364,-3.853883418,0.000137132,0.009836588,
CR44734,-3.837899446,0.074726273,0.352942876,
CR45161,-3.837899446,0.074726273,0.352942876,
CG4375,-3.836355763,0.067772187,0.335789105,
CG14095,-3.836355763,0.067772187,0.335789105,
CR44571,-3.835288829,2.57E-05,0.003881014,
p-cup,-3.832662773,0.050672663,0.288216222,
CG2121,-3.832662773,0.050672663,0.288216222,
CG31235,-3.832662773,0.050672663,0.288216222,
CG44329,-3.832662773,0.050672663,0.288216222,
ACXB,-3.831120521,0.074611484,0.352785849,
CG34286,-3.831120521,0.074611484,0.352785849,
CR43804,-3.831120521,0.074611484,0.352785849,
CR43859,-3.831120521,0.074611484,0.352785849,
LysP,-3.827645134,0.021529603,0.186135812,
CG10931,-3.827427857,0.04618397,0.27503791,
CG10035,-3.827427857,0.04618397,0.27503791,
CG34447,-3.827427857,0.04618397,0.27503791,
CG43077,-3.827427857,0.04618397,0.27503791,
CG43694,-3.827427857,0.04618397,0.27503791,
CR44358,-3.827427857,0.04618397,0.27503791,
CR44943,-3.827427857,0.04618397,0.27503791,
CR46028,-3.827427857,0.04618397,0.27503791,
CG8701,-3.825887053,0.100415448,0.404819021,
CG7126,-3.825887053,0.100415448,0.404819021,
CG33225,-3.825887053,0.100415448,0.404819021,
CG33783,-3.825887053,0.100415448,0.404819021,
CR43939,-3.825887053,0.100415448,0.404819021,
CR44273,-3.825887053,0.100415448,0.404819021,
CR44702,-3.825887053,0.100415448,0.404819021,
CR44730,-3.825887053,0.100415448,0.404819021,
CR45025,-3.825887053,0.100415448,0.404819021,
CR45207,-3.825887053,0.100415448,0.404819021,
bsh,-3.823734803,0.06761725,0.335496655,
CG13560,-3.823734803,0.06761725,0.335496655,
CR44413,-3.823734803,0.06761725,0.335496655,
CG44812,-3.823734803,0.06761725,0.335496655,
Gsc,-3.822194762,0.05042309,0.28754478,
mthl6,-3.822194762,0.05042309,0.28754478,
CG14691,-3.822194762,0.05042309,0.28754478,
CG32320,-3.822194762,0.05042309,0.28754478,
snoRNA:Pi4KIIalpha-a,-3.822194762,0.05042309,0.28754478,
CR44235,-3.822194762,0.05042309,0.28754478,
CR44778,-3.822194762,0.05042309,0.28754478,
CR44820,-3.822194762,0.05042309,0.28754478,
CR45238,-3.822194762,0.05042309,0.28754478,
CR45354,-3.822194762,0.05042309,0.28754478,
CR32661,-3.816963555,0.074444094,0.352661757,
CR44565,-3.816963555,0.074444094,0.352661757,
CR46120,-3.816963555,0.074444094,0.352661757,
CG3292,-3.813271362,0.045840949,0.27503791,
CG15025,-3.813271362,0.045840949,0.27503791,
snoRNA:Psi18S-1389b,-3.813271362,0.045840949,0.27503791,
CG34138,-3.813209864,0.014078014,0.149278085,
CG16713,-3.80957887,0.067398391,0.33536212,
CG14851,-3.80957887,0.067398391,0.33536212,
CR44673,-3.80957887,0.067398391,0.33536212,
CG7311,-3.808042606,0.06734429,0.33536212,
CG33093,-3.805410122,0.009187687,0.118351162,
CG17234,-3.799468503,0.011184704,0.131908617,
Ance-4,-3.799124538,0.067208241,0.33536212,
Osi3,-3.799124538,0.067208241,0.33536212,
lbl,-3.795432955,0.074204449,0.352385505,
Klp59D,-3.795432955,0.074204449,0.352385505,
snoRNA:Me28S-A2589c,-3.795432955,0.074204449,0.352385505,
Drip,-3.792970935,0.001003779,0.033632368,
CR44776,-3.790209678,0.074121769,0.352385505,
CG42781,-3.785714237,0.001139737,0.036112331,
Toll-7,-3.773795264,9.93E-05,0.008152441,
CG42741,-3.759037047,0.014772582,0.151982309,
Tom,-3.748513881,0.00130031,0.038815686,
CG43647,-3.74304722,0.000162643,0.011025668,
CG8654,-3.740905704,0.008999901,0.116945217,
atilla,-3.739581131,0.003095476,0.064452222,
Lip4,-3.72365295,0.001275287,0.038456511,
CR43458,-3.706696929,3.66E-05,0.004751379,
Jon66Ci,-3.695394088,0.032298748,0.228706518,
CG13692,-3.694187024,0.004767145,0.08263367,
CR45920,-3.668837452,0.009796525,0.122349544,
ninaA,-3.657180927,0.026714713,0.208310448,
Slob,-3.643460975,5.48E-05,0.006061625,
CR45716,-3.635603121,0.004144514,0.076222443,
NT1,-3.634908689,0.005358161,0.088307165,
Adgf-C,-3.630680997,0.003129309,0.064736611,
Ir56b,-3.629160002,0.009415781,0.12002588,
aos,-3.615586184,9.60E-08,0.000104963,
Cht2,-3.61208307,1.02E-05,0.002177789,
Best2,-3.611241878,0.000668257,0.02580092,
CG10625,-3.608524067,0.0010008,0.033596927,
CG7135,-3.5852747,0.018064035,0.168915563,
CR45435,-3.585229244,0.010673615,0.128465159,
CG34299,-3.579912303,0.019532748,0.175928196,
CG31814,-3.57538973,0.000813119,0.029628019,
pyd3,-3.563174649,2.92E-07,0.000189195,
Dscam4,-3.54696215,1.81E-05,0.003299008,
CG9014,-3.539834273,0.088476868,0.383709052,
CG12310,-3.539834273,0.088476868,0.383709052,
mir-210,-3.539834273,0.088476868,0.383709052,
CG43075,-3.539834273,0.088476868,0.383709052,
CG43198,-3.539834273,0.088476868,0.383709052,
CR44412,-3.539834273,0.088476868,0.383709052,
CR45115,-3.539834273,0.088476868,0.383709052,
CG43391,-3.537696678,0.031333775,0.225332847,
wat,-3.537216185,0.001845255,0.047954702,
CG6304,-3.535747938,0.093925694,0.393947337,
CG17999,-3.535747938,0.093925694,0.393947337,
CR45234,-3.535747938,0.093925694,0.393947337,
CG45690,-3.535747938,0.093925694,0.393947337,
CG6290,-3.534122306,0.09385965,0.393947337,
CG5397,-3.534122306,0.09385965,0.393947337,
CG13526,-3.534122306,0.09385965,0.393947337,
LS2,-3.534122306,0.09385965,0.393947337,
CG13613,-3.534122306,0.09385965,0.393947337,
CR46077,-3.534122306,0.09385965,0.393947337,
ZnT33D,-3.53003828,0.067322902,0.33536212,
CG33462,-3.53003828,0.067322902,0.33536212,
CR44825,-3.53003828,0.067322902,0.33536212,
LysS,-3.528415091,0.12261444,0.451669751,
Acp65Aa,-3.528415091,0.12261444,0.451669751,
CG4970,-3.528415091,0.12261444,0.451669751,
Cpr47Ea,-3.528415091,0.12261444,0.451669751,
CG8476,-3.528415091,0.12261444,0.451669751,
CG12516,-3.528415091,0.12261444,0.451669751,
CG8343,-3.528415091,0.12261444,0.451669751,
Or82a,-3.528415091,0.12261444,0.451669751,
CG33721,-3.528415091,0.12261444,0.451669751,
CG42713,-3.528415091,0.12261444,0.451669751,
CG43124,-3.528415091,0.12261444,0.451669751,
CR44080,-3.528415091,0.12261444,0.451669751,
CR44289,-3.528415091,0.12261444,0.451669751,
CR44800,-3.528415091,0.12261444,0.451669751,
CR44919,-3.528415091,0.12261444,0.451669751,
CR45638,-3.528415091,0.12261444,0.451669751,
CR46007,-3.528415091,0.12261444,0.451669751,
CG4701,-3.524333432,0.067145531,0.33536212,
CG1441,-3.524333432,0.067145531,0.33536212,
CG15124,-3.524333432,0.067145531,0.33536212,
CG13538,-3.524333432,0.067145531,0.33536212,
CG13299,-3.524333432,0.067145531,0.33536212,
CG33339,-3.524333432,0.067145531,0.33536212,
CR42545,-3.524333432,0.067145531,0.33536212,
CG43063,-3.524333432,0.067145531,0.33536212,
CG43069,-3.524333432,0.067145531,0.33536212,
CR44644,-3.524333432,0.067145531,0.33536212,
CR44848,-3.524333432,0.067145531,0.33536212,
CR44937,-3.524333432,0.067145531,0.33536212,
CR45578,-3.524333432,0.067145531,0.33536212,
CR45878,-3.524333432,0.067145531,0.33536212,
CR44365,-3.522785319,0.013858807,0.148300123,
CR43495,-3.520252732,0.08813958,0.383663711,
CG44094,-3.520252732,0.08813958,0.383663711,
CG13921,-3.518843538,0.000146482,0.010207084,
Sr-CII,-3.518633471,0.093608066,0.393947337,
CG12692,-3.518633471,0.093608066,0.393947337,
CG14013,-3.518633471,0.093608066,0.393947337,
CG4983,-3.518633471,0.093608066,0.393947337,
CG14096,-3.518633471,0.093608066,0.393947337,
Ir92a,-3.518633471,0.093608066,0.393947337,
CG32248,-3.518633471,0.093608066,0.393947337,
CR44432,-3.518633471,0.093608066,0.393947337,
CR45419,-3.518633471,0.093608066,0.393947337,
CG8119,-3.514555241,0.066870416,0.33536212,
hui,-3.514555241,0.066870416,0.33536212,
CG13296,-3.514555241,0.066870416,0.33536212,
Pex7,-3.514555241,0.066870416,0.33536212,
CG4066,-3.514555241,0.066870416,0.33536212,
CG31693,-3.514555241,0.066870416,0.33536212,
CG32376,-3.514555241,0.066870416,0.33536212,
CR44736,-3.514555241,0.066870416,0.33536212,
CR45193,-3.514555241,0.066870416,0.33536212,
Tmhs,-3.513741158,0.000659651,0.02576215,
CR43464,-3.509238686,0.039993249,0.256879153,
CG43133,-3.509154082,0.013765852,0.147708432,
tRNA:S774:12Ef,-3.50886277,0.087884733,0.383585916,
Osi6,-3.50886277,0.087884733,0.383585916,
CG7294,-3.50886277,0.087884733,0.383585916,
CG31268,-3.50886277,0.087884733,0.383585916,
CG40298,-3.50886277,0.087884733,0.383585916,
CG34217,-3.50886277,0.087884733,0.383585916,
mir-957,-3.50886277,0.087884733,0.383585916,
CR44187,-3.50886277,0.087884733,0.383585916,
CR45112,-3.50886277,0.087884733,0.383585916,
CR45649,-3.50886277,0.087884733,0.383585916,
sowi,-3.507981339,0.018040426,0.168911696,
RabX5,-3.504788144,0.093407384,0.393947337,
Osi17,-3.504788144,0.093407384,0.393947337,
snmRNA:204,-3.504788144,0.093407384,0.393947337,
CG6421,-3.499103397,0.093289209,0.393947337,
CG3124,-3.499103397,0.093289209,0.393947337,
CG10853,-3.499103397,0.093289209,0.393947337,
CG14984,-3.499103397,0.093289209,0.393947337,
CR33929,-3.499103397,0.093289209,0.393947337,
CR42850,-3.499103397,0.093289209,0.393947337,
CG43054,-3.499103397,0.093289209,0.393947337,
CG43082,-3.499103397,0.093289209,0.393947337,
CR44737,-3.499103397,0.093289209,0.393947337,
CR45963,-3.499103397,0.093289209,0.393947337,
CG31002,-3.497982542,0.002915233,0.062484586,
CG6209,-3.495636664,0.004026064,0.075150324,
CR45571,-3.492894671,0.01557059,0.155925744,
CG13983,-3.49077632,0.027301945,0.210542775,
Cpr64Ab,-3.48935576,0.122537352,0.451669751,
CG14689,-3.48935576,0.122537352,0.451669751,
CG32235,-3.48935576,0.122537352,0.451669751,
CG33189,-3.48935576,0.122537352,0.451669751,
CR43302,-3.48935576,0.122537352,0.451669751,
beat-IIa,-3.481638696,5.78E-05,0.006168975,
CG13380,-3.478558609,0.000253342,0.013931381,
CG4174,-3.478110582,0.00025353,0.013931381,
mir-2b-2,-3.472433361,0.014180749,0.149748683,
danr,-3.466300247,0.000236094,0.013494393,
GV1,-3.451177202,0.006793067,0.099840964,
CG31882,-3.437934734,0.000111953,0.008780515,
CG13728,-3.431397759,0.021967956,0.188121391,
CR44751,-3.430431854,0.03838265,0.25077047,
Dpt,-3.428901943,0.029517837,0.218387043,
CG17177,-3.42471496,0.00842106,0.111241945,
CG42525,-3.421870753,0.00784973,0.107511185,
Sp7,-3.420424766,0.000821063,0.029793331,
abd-A,-3.418861318,0.006235765,0.095085902,
CG33341,-3.409378944,0.000259234,0.014009435,
CR45315,-3.40311769,0.032719522,0.229893381,
TwdlW,-3.394478915,0.006132196,0.094586899,
Drep-4,-3.385073859,5.73E-05,0.006147574,
CG4678,-3.37444488,0.000588001,0.023750884,
snoRNA:Me28S-C2645c,-3.371373888,0.000955813,0.032472056,
CG12014,-3.364898338,0.001012843,0.033709161,
CG13288,-3.363336221,0.000952666,0.032472056,
CR44850,-3.355183262,0.025104582,0.201227836,
CG14687,-3.353341331,0.018207679,0.169650475,
CG42831,-3.353276623,0.001339416,0.039504858,
unc-104,-3.351053722,1.62E-06,0.000659133,
CR30267,-3.347847299,0.026433519,0.20722647,
Spn42De,-3.34715349,5.98E-05,0.006216993,
CR45136,-3.328184308,0.000138353,0.009836588,
CG7164,-3.325325588,0.024962441,0.200272058,
CG13675,-3.321150918,0.022708832,0.191595497,
Or67a,-3.320372679,0.022768757,0.191729293,
CG31213,-3.308849108,0.009447128,0.120167472,
CG42261,-3.302807236,0.006328114,0.095660084,
Vha16-4,-3.298264474,0.027203381,0.210339143,
CG5762,-3.289039166,0.028343537,0.213400112,
krimp,-3.283512589,0.001970728,0.049632416,
beat-VI,-3.269335793,0.010338145,0.126090762,
CR32511,-3.267178291,0.022419837,0.18998205,
CG17633,-3.267063985,0.027968098,0.212679144,
Obp47a,-3.264042394,0.028358025,0.213417323,
CG33270,-3.249402861,0.024421992,0.198298398,
osk,-3.240268369,0.031439572,0.225440193,
CG9698,-3.236462309,0.014653208,0.15135105,
CR44602,-3.236099003,0.059472631,0.314289497,
CG10345,-3.234444566,0.008092701,0.108961766,
CG34211,-3.227776842,0.047734122,0.280345801,
psh,-3.225494078,0.008279479,0.110296951,
CR45992,-3.222386547,4.90E-05,0.00579825,
CG43645,-3.219462633,0.0227518,0.191729293,
CG34459,-3.218142151,0.035459619,0.239085865,
Toll-6,-3.216654688,0.00304716,0.063902669,
Ugt37a1,-3.204570835,0.049920915,0.287020643,
CG4520,-3.189874439,0.032663234,0.229867832,
CG32985,-3.18919313,0.003511359,0.069413251,
CR45567,-3.18456592,0.005199571,0.086749629,
CG31089,-3.17914034,0.008608183,0.112946072,
CG9570,-3.172392474,0.157099402,0.503882506,
CG13545,-3.172392474,0.157099402,0.503882506,
CG34260,-3.172392474,0.157099402,0.503882506,
CR43491,-3.172392474,0.157099402,0.503882506,
dpr10,-3.169935531,0.000174772,0.011448518,
CG15472,-3.168378747,0.028453351,0.213766467,
fd96Ca,-3.166104443,0.125765105,0.451669751,
E5,-3.166104443,0.125765105,0.451669751,
CG11356,-3.166104443,0.125765105,0.451669751,
CG17472,-3.166104443,0.125765105,0.451669751,
CG8335,-3.166104443,0.125765105,0.451669751,
CG2127,-3.166104443,0.125765105,0.451669751,
CG8170,-3.166104443,0.125765105,0.451669751,
Cpr47Ef,-3.166104443,0.125765105,0.451669751,
Ir56c,-3.166104443,0.125765105,0.451669751,
CG31913,-3.166104443,0.125765105,0.451669751,
CG33461,-3.166104443,0.125765105,0.451669751,
CG33680,-3.166104443,0.125765105,0.451669751,
CG33922,-3.166104443,0.125765105,0.451669751,
CG34225,-3.166104443,0.125765105,0.451669751,
snoRNA:Me18S-A627,-3.166104443,0.125765105,0.451669751,
Sfp36F,-3.166104443,0.125765105,0.451669751,
CG43246,-3.166104443,0.125765105,0.451669751,
CR43848,-3.166104443,0.125765105,0.451669751,
CR44109,-3.166104443,0.125765105,0.451669751,
CR44857,-3.166104443,0.125765105,0.451669751,
CR45318,-3.166104443,0.125765105,0.451669751,
CR45879,-3.166104443,0.125765105,0.451669751,
CG9525,-3.164069281,0.040577931,0.258545727,
CG5781,-3.159825354,0.125612342,0.451669751,
Or49a,-3.159825354,0.125612342,0.451669751,
Ir60a,-3.159825354,0.125612342,0.451669751,
Cyp313a5,-3.159825354,0.125612342,0.451669751,
Gyc-89Db,-3.159825354,0.125612342,0.451669751,
CG18735,-3.159825354,0.125612342,0.451669751,
CG31200,-3.159825354,0.125612342,0.451669751,
CG31851,-3.159825354,0.125612342,0.451669751,
CG34181,-3.159825354,0.125612342,0.451669751,
CG42523,-3.159825354,0.125612342,0.451669751,
CG42716,-3.159825354,0.125612342,0.451669751,
CG43089,-3.159825354,0.125612342,0.451669751,
CG43108,-3.159825354,0.125612342,0.451669751,
CR43888,-3.159825354,0.125612342,0.451669751,
CR44039,-3.159825354,0.125612342,0.451669751,
CR44203,-3.159825354,0.125612342,0.451669751,
CR45113,-3.159825354,0.125612342,0.451669751,
CR45882,-3.159825354,0.125612342,0.451669751,
CR46030,-3.159825354,0.125612342,0.451669751,
